1,Chai,1
2,Chang,1
3,Aniseed Syrup,1
4,Chef Anton's Cajun Seasoning,2
5,Chef Anton's Gumbo Mix,2
6,Grandma's Boysenberry Spread,3
7,Uncle Bob's Organic Dried Pears,3
8,Northwoods Cranberry Sauce,3
9,Mishi Kobe Niku,4
10,Ikura,4
11,Queso Cabrales,5
12,Queso Manchego La Pastora,5
13,Konbu,6
14,Tofu,6
15,Genen Shouyu,6
16,Pavlova,7
17,Alice Mutton,7
18,Carnarvon Tigers,7
19,Teatime Chocolate Biscuits,8
20,Sir Rodney's Marmalade,8
21,Sir Rodney's Scones,8
22,Gustaf's Knäckebröd,9
23,Tunnbröd,9
24,Guaraná Fantástica,10
25,NuNuCa Nuß-Nougat-Creme,11
26,Gumbär Gummibärchen,11
27,Schoggi Schokolade,11
28,Rössle Sauerkraut,12
29,Thüringer Rostbratwurst,12
30,Nord-Ost Matjeshering,13
31,Gorgonzola Telino,14
32,Mascarpone Fabioli,14
33,Geitost,15
34,Sasquatch Ale,16
35,Steeleye Stout,16
36,Inlagd Sill,17
37,Gravad lax,17
38,Côte de Blaye,18
39,Chartreuse verte,18
40,Boston Crab Meat,19
41,Jack's New England Clam Chowder,19
42,Singaporean Hokkien Fried Mee,20
43,Ipoh Coffee,20
44,Gula Malacca,20
45,Rogede sild,21
46,Spegesild,21
47,Zaanse koeken,22
48,Chocolade,22
49,Maxilaku,23
50,Valkoinen suklaa,23
51,Manjimup Dried Apples,24
52,Filo Mix,24
53,Perth Pasties,24
54,Tourtière,25
55,Pâté chinois,25
56,Gnocchi di nonna Alice,26
57,Ravioli Angelo,26
58,Escargots de Bourgogne,27
59,Raclette Courdavault,28
60,Camembert Pierrot,28
61,Sirop d'érable,29
62,Tarte au sucre,29
63,Vegie-spread,7
64,Wimmers gute Semmelknödel,12
65,Louisiana Fiery Hot Pepper Sauce,2
66,Louisiana Hot Spiced Okra,2
67,Laughing Lumberjack Lager,16
68,Scottish Longbreads,8
69,Gudbrandsdalsost,15
70,Outback Lager,7
71,Flotemysost,15
72,Mozzarella di Giovanni,14
73,Röd Kaviar,17
74,Longlife Tofu,4
75,Rhönbräu Klosterbier,12
76,Lakkalikööri,23
77,Original Frankfurter grüne Soße,12
